,experience_level,work_year,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,EN,2020,FT,Data Analyst,72000,USD,72000,US,100,US,L
1,EN,2020,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S
2,EN,2020,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M
3,EN,2020,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S
4,EN,2020,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M
5,EN,2020,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
6,EN,2020,CT,Business Data Analyst,100000,USD,100000,US,100,US,L
7,EN,2020,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
8,EN,2020,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
9,EN,2020,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
10,EN,2020,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
11,EN,2020,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
12,EN,2020,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
13,EN,2020,FT,Data Analyst,91000,USD,91000,US,100,US,L
14,EN,2020,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
15,EN,2020,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
16,EN,2020,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
17,EN,2020,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
18,EN,2020,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
19,EN,2020,FT,Data Scientist,105000,USD,105000,US,100,US,S
20,EN,2021,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L
21,EN,2021,FT,Data Analyst,80000,USD,80000,US,100,US,M
22,EN,2021,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M
23,EN,2021,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S
24,EN,2021,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L
25,EN,2021,PT,AI Scientist,12000,USD,12000,BR,100,US,S
26,EN,2021,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
27,EN,2021,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
28,EN,2021,PT,AI Scientist,12000,USD,12000,PK,100,US,M
29,EN,2021,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
30,EN,2021,FT,Data Analyst,90000,USD,90000,US,100,US,S
31,EN,2021,FT,Data Analyst,50000,USD,50000,US,100,US,M
32,EN,2021,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
33,EN,2021,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
34,EN,2021,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
35,EN,2021,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
36,EN,2021,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
37,EN,2021,FT,Data Scientist,100000,USD,100000,US,0,US,S
38,EN,2021,FT,Data Scientist,80000,USD,80000,US,100,US,M
39,EN,2021,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
40,EN,2021,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
41,EN,2021,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
42,EN,2021,FT,Data Engineer,80000,USD,80000,US,100,US,L
43,EN,2021,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
44,EN,2021,FT,Data Analyst,60000,USD,60000,US,100,US,S
45,EN,2021,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
46,EN,2021,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
47,EN,2021,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
48,EN,2021,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
49,EN,2021,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L
50,EN,2021,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
51,EN,2021,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
52,EN,2021,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L
53,EN,2021,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
54,EN,2021,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M
55,EN,2021,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
56,EN,2021,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
57,EN,2021,FT,Data Scientist,90000,USD,90000,US,100,US,S
58,EN,2021,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
59,EN,2021,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M
60,EN,2021,FT,Data Engineer,72500,USD,72500,US,100,US,L
61,EN,2021,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
62,EN,2021,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
63,EN,2021,FT,Data Scientist,100000,USD,100000,US,100,US,M
64,EN,2021,FT,Data Scientist,58000,USD,58000,US,50,US,L
65,EN,2021,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
66,EN,2021,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
67,EN,2022,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M
68,EN,2022,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M
69,EN,2022,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L
70,EN,2022,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L
71,EN,2022,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
72,EN,2022,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
73,EN,2022,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M
74,EN,2022,FT,Data Engineer,120000,USD,120000,US,100,US,M
75,EN,2022,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
76,EN,2022,CT,Applied Machine Learning Scientist,29000,EUR,31875,TN,100,CZ,M
77,EN,2022,FT,Data Engineer,52800,EUR,58035,PK,100,DE,M
78,EN,2022,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L
79,EN,2022,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
80,EN,2022,FT,Data Scientist,120000,AUD,86703,AU,50,AU,M
81,EN,2022,FT,Research Scientist,120000,USD,120000,US,100,US,L
82,EN,2022,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S
83,EN,2022,FT,Data Engineer,65000,USD,65000,US,100,US,S
84,EN,2022,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
85,EN,2022,FT,Computer Vision Engineer,10000,USD,10000,PT,100,LU,M
86,EN,2022,FT,Data Analyst,67000,USD,67000,CA,0,CA,M
87,EN,2022,FT,Data Analyst,52000,USD,52000,CA,0,CA,M
88,MI,2020,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
89,MI,2020,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S
90,MI,2020,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L
91,MI,2020,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
92,MI,2020,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
93,MI,2020,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
94,MI,2020,FT,Data Analyst,85000,USD,85000,US,100,US,L
95,MI,2020,FT,Data Analyst,8000,USD,8000,PK,50,PK,L
96,MI,2020,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
97,MI,2020,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M
98,MI,2020,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L
99,MI,2020,FT,BI Data Analyst,98000,USD,98000,US,0,US,M
100,MI,2020,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
101,MI,2020,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S
102,MI,2020,FT,Research Scientist,450000,USD,450000,US,0,US,M
103,MI,2020,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
104,MI,2020,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L
105,MI,2020,FT,Data Science Consultant,103000,USD,103000,US,100,US,L
106,MI,2020,FT,Data Scientist,45760,USD,45760,PH,100,US,S
107,MI,2020,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
108,MI,2020,FT,Data Engineer,106000,USD,106000,US,100,US,L
109,MI,2020,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
110,MI,2020,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
111,MI,2020,FT,Data Scientist,105000,USD,105000,US,100,US,L
112,MI,2020,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
113,MI,2020,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
114,MI,2020,FT,Data Scientist,118000,USD,118000,US,100,US,M
115,MI,2020,FT,Data Scientist,138350,USD,138350,US,100,US,M
116,MI,2020,FT,Data Engineer,110000,USD,110000,US,100,US,L
117,MI,2020,FT,Data Engineer,130800,USD,130800,ES,100,US,M
118,MI,2020,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S
119,MI,2020,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
120,MI,2021,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
121,MI,2021,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M
122,MI,2021,CT,ML Engineer,270000,USD,270000,US,100,US,L
123,MI,2021,FT,Data Engineer,140000,USD,140000,US,100,US,L
124,MI,2021,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L
125,MI,2021,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S
126,MI,2021,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L
127,MI,2021,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L
128,MI,2021,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L
129,MI,2021,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L
130,MI,2021,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
131,MI,2021,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S
132,MI,2021,FT,Data Analyst,75000,USD,75000,US,0,US,L
133,MI,2021,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
134,MI,2021,FT,Data Analyst,62000,USD,62000,US,0,US,L
135,MI,2021,FT,Data Scientist,73000,USD,73000,US,0,US,L
136,MI,2021,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L
137,MI,2021,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L
138,MI,2021,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
139,MI,2021,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
140,MI,2021,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
141,MI,2021,FT,Data Engineer,200000,USD,200000,US,100,US,L
142,MI,2021,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
143,MI,2021,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
144,MI,2021,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
145,MI,2021,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
146,MI,2021,FT,Data Analyst,90000,USD,90000,US,100,US,M
147,MI,2021,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
148,MI,2021,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
149,MI,2021,FT,Data Analyst,135000,USD,135000,US,100,US,L
150,MI,2021,FT,Data Scientist,82500,USD,82500,US,100,US,S
151,MI,2021,FT,Data Engineer,100000,USD,100000,US,100,US,L
152,MI,2021,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
153,MI,2021,FT,Data Engineer,90000,USD,90000,US,100,US,L
154,MI,2021,FT,Data Scientist,150000,USD,150000,US,100,US,M
155,MI,2021,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
156,MI,2021,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M
157,MI,2021,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
158,MI,2021,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L
159,MI,2021,FT,Data Architect,150000,USD,150000,US,100,US,L
160,MI,2021,FT,Data Architect,170000,USD,170000,US,100,US,L
161,MI,2021,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
162,MI,2021,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S
163,MI,2021,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
164,MI,2021,FT,Data Scientist,420000,INR,5679,IN,100,US,S
165,MI,2021,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L
166,MI,2021,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
167,MI,2021,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
168,MI,2021,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
169,MI,2021,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
170,MI,2021,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
171,MI,2021,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
172,MI,2021,FT,Data Scientist,147000,USD,147000,US,50,US,L
173,MI,2021,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M
174,MI,2021,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
175,MI,2021,FT,Data Scientist,160000,USD,160000,US,100,US,L
176,MI,2021,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
177,MI,2021,FL,Data Engineer,20000,USD,20000,IT,0,US,L
178,MI,2021,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
179,MI,2021,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S
180,MI,2021,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S
181,MI,2021,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
182,MI,2021,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
183,MI,2021,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
184,MI,2021,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
185,MI,2021,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
186,MI,2021,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
187,MI,2021,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
188,MI,2021,FT,Data Architect,180000,USD,180000,US,100,US,L
189,MI,2021,FT,Head of Data Science,110000,USD,110000,US,0,US,S
190,MI,2021,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
191,MI,2021,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
192,MI,2021,FT,Data Analyst,80000,USD,80000,US,100,US,L
193,MI,2021,FT,Data Engineer,110000,USD,110000,US,100,US,L
194,MI,2021,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L
195,MI,2021,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M
196,MI,2021,FT,Data Scientist,115000,USD,115000,US,50,US,L
197,MI,2021,FT,Data Analyst,93000,USD,93000,US,100,US,L
198,MI,2021,FT,Data Engineer,200000,USD,200000,US,100,US,L
199,MI,2021,FT,Data Scientist,130000,USD,130000,US,50,US,L
200,MI,2021,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
201,MI,2021,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
202,MI,2021,FT,Data Engineer,93150,USD,93150,US,0,US,M
203,MI,2021,FT,Data Engineer,111775,USD,111775,US,0,US,M
204,MI,2021,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M
205,MI,2021,FT,Data Engineer,112000,USD,112000,US,100,US,L
206,MI,2021,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L
207,MI,2021,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
208,MI,2021,FT,Data Scientist,109000,USD,109000,US,50,US,L
209,MI,2021,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
210,MI,2022,FT,Data Scientist,130000,USD,130000,US,0,US,M
211,MI,2022,FT,Data Scientist,90000,USD,90000,US,0,US,M
212,MI,2022,FT,Data Engineer,170000,USD,170000,US,100,US,M
213,MI,2022,FT,Data Engineer,150000,USD,150000,US,100,US,M
214,MI,2022,FT,Data Analyst,106260,USD,106260,US,0,US,M
215,MI,2022,FT,Data Analyst,126500,USD,126500,US,0,US,M
216,MI,2022,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M
217,MI,2022,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M
218,MI,2022,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
219,MI,2022,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M
220,MI,2022,FT,Data Analyst,115500,USD,115500,US,100,US,M
221,MI,2022,FT,Data Analyst,167000,USD,167000,US,100,US,M
222,MI,2022,FT,Data Analyst,58000,USD,58000,US,0,US,S
223,MI,2022,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
224,MI,2022,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
225,MI,2022,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M
226,MI,2022,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M
227,MI,2022,FT,AI Scientist,120000,USD,120000,US,0,US,M
228,MI,2022,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M
229,MI,2022,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M
230,MI,2022,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M
231,MI,2022,FT,Data Analyst,58000,USD,58000,US,0,US,S
232,MI,2022,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M
233,MI,2022,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M
234,MI,2022,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M
235,MI,2022,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M
236,MI,2022,FT,Data Engineer,45000,EUR,49461,GR,100,GR,M
237,MI,2022,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
238,MI,2022,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M
239,MI,2022,FT,Data Engineer,63900,USD,63900,US,0,US,M
240,MI,2022,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
241,MI,2022,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
242,MI,2022,FT,Data Science Manager,241000,USD,241000,US,100,US,M
243,MI,2022,FT,Data Science Manager,159000,USD,159000,US,100,US,M
244,MI,2022,FT,Data Engineer,82900,USD,82900,US,0,US,M
245,MI,2022,FT,Data Engineer,45000,EUR,49461,ES,100,ES,M
246,MI,2022,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M
247,MI,2022,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M
248,MI,2022,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M
249,MI,2022,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M
250,MI,2022,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M
251,MI,2022,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M
252,MI,2022,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M
253,MI,2022,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M
254,MI,2022,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M
255,MI,2022,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M
256,MI,2022,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M
257,MI,2022,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M
258,MI,2022,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
259,MI,2022,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M
260,MI,2022,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
261,MI,2022,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
262,MI,2022,FT,NLP Engineer,240000,CNY,37236,US,50,US,L
263,MI,2022,FT,Business Data Analyst,1400000,INR,18442,IN,100,IN,M
264,MI,2022,FT,Data Scientist,2400000,INR,31615,IN,100,IN,L
265,MI,2022,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L
266,MI,2022,PT,Data Engineer,50000,EUR,54957,DE,50,DE,L
267,MI,2022,FT,Data Analyst,135000,USD,135000,US,100,US,M
268,MI,2022,FT,Data Analyst,50000,USD,50000,US,100,US,M
269,MI,2022,FT,Data Scientist,140000,GBP,183228,GB,0,GB,M
270,MI,2022,FT,Data Scientist,70000,GBP,91614,GB,0,GB,M
271,MI,2022,FT,Data Scientist,200000,USD,200000,US,100,US,M
272,MI,2022,FT,Data Scientist,120000,USD,120000,US,100,US,M
273,MI,2022,FL,Data Scientist,100000,USD,100000,CA,100,US,M
274,MI,2022,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
275,MI,2022,FT,Data Scientist,150000,PLN,35590,PL,100,PL,L
276,MI,2022,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
277,MI,2022,FT,Head of Data,30000,EUR,32974,EE,100,EE,S
278,MI,2022,FT,Machine Learning Engineer,121000,AUD,87425,AU,100,AU,L
279,MI,2022,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
280,MI,2022,FT,Research Scientist,59000,EUR,64849,AT,0,AT,L
281,MI,2022,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
282,MI,2022,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L
283,MI,2022,FT,Data Scientist,48000,USD,48000,RU,100,US,S
284,MI,2022,FT,Data Engineer,62000,EUR,68147,FR,100,FR,M
285,MI,2022,FT,Data Scientist,115000,CHF,122346,CH,0,CH,L
286,MI,2022,FT,Data Scientist,88000,CAD,69336,CA,100,CA,M
287,MI,2022,FT,Data Analyst,20000,USD,20000,GR,100,GR,S
288,MI,2022,FT,Data Scientist,135000,USD,135000,US,100,US,L
289,MI,2022,FT,Data Scientist,78000,USD,78000,US,100,US,M
290,MI,2022,FT,Data Analyst,85000,USD,85000,CA,0,CA,M
291,MI,2022,FT,Data Analyst,75000,USD,75000,CA,0,CA,M
292,MI,2022,FT,Data Scientist,141300,USD,141300,US,0,US,M
293,MI,2022,FT,Data Scientist,102100,USD,102100,US,0,US,M
294,MI,2022,FT,Data Engineer,206699,USD,206699,US,0,US,M
295,MI,2022,FT,Data Engineer,99100,USD,99100,US,0,US,M
296,MI,2022,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M
297,MI,2022,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M
298,MI,2022,FT,Data Scientist,160000,USD,160000,US,100,US,M
299,MI,2022,FT,Data Scientist,130000,USD,130000,US,100,US,M
300,MI,2022,FT,AI Scientist,200000,USD,200000,IN,100,US,L
301,SE,2020,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
302,SE,2020,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M
303,SE,2020,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L
304,SE,2020,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
